id,HomeTeam,AwayTeam,Unnamed: 0,HTP,ATP,HM1_D,HM1_L,HM1_M,HM1_W,HM2_D,HM2_L,HM2_M,HM2_W,HM3_D,HM3_L,HM3_M,HM3_W,AM1_D,AM1_L,AM1_M,AM1_W,AM2_D,AM2_L,AM2_M,AM2_W,AM3_D,AM3_L,AM3_M,AM3_W,HTGD,ATGD,DiffFormPts
55,Sunderland,Derby,55,-1.023011548,-1.070656938,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-1.187589674,-0.261522801,0
56,Chelsea,Leicester,56,-0.394255794,1.159473738,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0.013971657,0.700635604,-0.833333333
57,Man City,Middlesbrough,57,-0.394255794,-0.752066843,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,-0.706965142,-0.020983199,0.166666667
58,West Ham,Liverpool,58,-1.651767303,0.840883642,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,-0.947277409,0.460096003,-1.333333333
59,Bradford,Southampton,59,-0.708633672,-1.389247036,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,-1.187589674,-0.502062401,0.333333333
60,Coventry,West Ham,60,-0.394255794,-1.525785648,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,-0.603974171,-0.845690402,0.571428571
61,Derby,Leeds,61,-1.20265605,-0.160399519,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,-0.397992229,0.185193602,-0.285714286
62,Ipswich,Arsenal,62,-0.394255794,0.658832157,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,-0.397992229,0.803724004,-0.571428571
63,Liverpool,Sunderland,63,0.683611213,-0.433476746,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.425935542,-0.845690402,0.571428571
64,Man United,Chelsea,64,1.492011469,-0.706553972,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,2.691736908,-0.433336801,1.142857143
